iter	Passed	Remaining
0	0	102
1	0	65
2	0	53
3	0	46
4	0	42
5	0	39
6	0	37
7	0	36
8	0	34
9	0	33
10	0	32
11	0	32
12	0	31
13	0	31
14	0	30
15	0	30
16	0	29
17	0	29
18	0	29
19	0	28
20	0	28
21	0	28
22	0	28
23	0	28
24	0	28
25	0	27
26	0	27
27	0	27
28	0	27
29	0	27
30	0	27
31	0	26
32	0	26
33	0	26
34	0	26
35	0	26
36	0	26
37	0	26
38	0	26
39	0	26
40	0	26
41	0	26
42	0	25
43	0	25
44	1	25
45	1	25
46	1	25
47	1	25
48	1	25
49	1	25
50	1	25
51	1	25
52	1	25
53	1	25
54	1	25
55	1	25
56	1	25
57	1	25
58	1	25
59	1	25
60	1	25
61	1	25
62	1	25
63	1	24
64	1	24
65	1	24
66	1	24
67	1	24
68	1	24
69	1	24
70	1	25
71	1	26
72	1	27
73	1	27
74	1	28
75	1	28
76	1	29
77	2	29
78	2	30
79	2	30
80	2	30
81	2	31
82	2	31
83	2	31
84	2	31
85	2	32
86	2	32
87	2	32
88	2	33
89	2	33
90	2	33
91	2	33
92	2	33
93	2	33
94	2	33
95	2	34
96	3	34
97	3	35
98	3	35
99	3	35
100	3	35
101	3	35
102	3	35
103	3	35
104	3	35
105	3	35
106	3	35
107	3	35
108	3	34
109	3	35
110	3	35
111	3	36
112	4	40
113	4	39
114	4	39
115	4	39
116	4	39
117	4	39
118	4	39
119	4	38
120	4	40
121	4	40
122	4	41
123	4	41
124	4	41
125	4	41
126	4	41
127	4	41
128	5	41
129	5	41
130	5	42
131	5	42
132	5	42
133	5	42
134	5	42
135	5	42
136	5	42
137	5	42
138	5	42
139	5	42
140	5	42
141	5	42
142	5	42
143	5	42
144	5	43
145	5	43
146	6	43
147	6	43
148	6	43
149	6	43
150	6	43
151	6	43
152	6	43
153	6	43
154	6	43
155	6	43
156	6	43
157	6	43
158	6	43
159	6	43
160	6	43
161	6	43
162	6	43
163	6	43
164	6	43
165	6	42
166	6	42
167	6	42
168	6	42
169	6	42
170	6	42
171	7	41
172	7	41
173	7	41
174	7	41
175	7	41
176	7	41
177	7	41
178	7	40
179	7	40
180	7	40
181	7	40
182	7	40
183	7	40
184	7	40
185	7	40
186	7	40
187	7	40
188	7	41
189	7	40
190	7	41
191	7	41
192	7	41
193	8	42
194	8	42
195	8	42
196	8	43
197	8	43
198	8	43
199	8	43
200	8	43
201	8	43
202	8	43
203	9	43
204	9	43
205	9	43
206	9	44
207	9	44
208	9	44
209	9	43
210	9	43
211	9	43
212	9	43
213	9	43
214	9	43
215	9	43
216	9	43
217	9	43
218	9	43
219	9	43
220	9	43
221	9	43
222	9	43
223	10	43
224	10	44
225	10	44
226	10	44
227	10	43
228	10	43
229	10	43
230	10	43
231	10	43
232	10	43
233	10	43
234	10	43
235	10	43
236	10	43
237	10	43
238	10	43
239	10	43
240	10	42
241	10	42
242	10	42
243	10	42
244	10	42
245	10	42
246	10	42
247	10	42
248	10	41
249	10	41
250	11	41
251	11	41
252	11	41
253	11	41
254	11	41
255	11	40
256	11	40
257	11	40
258	11	40
259	11	40
260	11	40
261	11	40
262	11	40
263	11	39
264	11	39
265	11	39
266	11	39
267	11	39
268	11	39
269	11	39
270	11	41
271	12	40
272	12	40
273	12	40
274	12	40
275	12	40
276	12	40
277	12	40
278	12	40
279	12	40
280	12	39
281	12	39
282	12	39
283	12	39
284	12	39
285	12	39
286	12	39
287	12	39
288	12	38
289	12	38
290	12	38
291	13	42
292	13	41
293	13	41
294	13	41
295	13	41
296	13	41
297	13	41
298	13	41
299	13	41
300	13	41
301	14	42
302	14	42
303	14	42
304	14	42
305	14	42
306	14	42
307	15	44
308	15	44
309	15	44
310	15	44
311	15	44
312	15	44
313	15	44
314	15	43
315	15	44
316	15	44
317	15	44
318	15	44
319	15	43
320	16	45
321	16	45
322	16	44
323	16	44
