iter	Passed	Remaining
324	16	44
325	16	44
326	16	44
327	16	44
328	16	44
329	16	44
330	16	44
331	16	44
332	16	44
333	16	43
334	16	43
335	16	43
336	17	43
337	17	43
338	17	43
339	17	43
340	17	43
341	17	42
342	17	42
343	17	42
344	17	42
345	17	42
346	17	42
347	17	42
348	17	42
349	17	41
350	17	41
351	17	41
352	17	41
353	17	41
354	17	41
355	17	41
356	17	41
357	17	40
358	17	40
359	17	40
360	17	40
361	17	40
362	17	40
363	17	40
364	17	40
365	17	40
366	17	40
367	17	39
368	17	39
369	17	39
370	17	39
371	17	39
372	17	39
373	17	39
374	17	39
375	17	39
376	17	38
377	17	39
378	18	39
379	18	39
380	18	38
381	18	38
382	18	38
383	18	38
384	18	38
385	18	38
386	18	38
387	18	38
388	18	38
389	18	38
390	18	38
391	18	38
392	18	38
393	18	38
394	18	38
395	19	38
396	19	38
397	19	38
398	19	38
399	19	38
400	19	38
401	19	38
402	19	38
403	19	38
404	19	38
405	19	38
406	19	38
407	19	38
408	19	38
409	19	38
410	19	38
411	19	38
412	20	38
413	20	38
414	20	38
415	20	38
416	20	37
417	20	37
418	20	37
419	20	37
420	20	37
421	20	37
422	20	37
423	20	37
424	20	37
425	20	37
426	20	37
427	20	37
428	20	37
429	20	37
430	20	36
431	20	36
432	20	36
433	20	36
434	20	36
435	20	36
436	20	36
437	20	36
438	20	36
439	21	36
440	21	36
441	21	36
442	21	36
443	21	35
444	21	35
445	21	35
446	21	35
447	21	35
448	21	35
449	21	35
450	21	35
451	21	35
452	21	35
453	21	35
454	21	34
455	21	34
456	21	34
457	21	34
458	21	34
459	21	34
460	21	34
461	21	34
462	21	34
463	21	34
464	21	34
465	21	34
466	21	33
467	21	33
468	21	33
469	21	33
470	21	33
471	21	33
472	21	33
473	21	33
474	21	33
475	21	33
476	21	33
477	21	33
478	21	32
479	21	32
480	21	32
481	21	32
482	21	32
483	22	32
484	22	32
485	22	32
486	22	32
487	22	32
488	22	32
489	22	32
490	22	31
491	22	31
492	22	31
493	22	31
494	22	31
495	22	31
496	22	31
497	22	31
498	22	31
499	22	31
500	22	31
501	22	31
502	22	31
503	22	30
504	22	30
505	22	30
506	22	30
507	22	30
508	22	30
509	22	30
510	22	30
511	22	30
512	22	30
513	22	30
514	22	30
515	22	30
516	22	29
517	22	29
518	22	29
519	22	29
520	22	29
521	22	29
522	22	29
523	22	29
524	22	29
525	22	29
526	22	29
527	22	29
528	22	29
529	22	28
530	22	28
531	22	28
532	23	28
533	23	28
534	23	28
535	23	28
536	23	28
537	23	28
538	23	28
539	23	28
540	23	28
541	23	28
542	23	28
543	23	28
544	23	27
545	23	27
546	23	27
547	23	27
548	23	27
549	23	27
550	23	27
551	23	27
552	23	27
553	23	27
554	23	27
555	23	27
556	23	27
557	23	27
558	23	27
559	23	27
560560	36	41
561	36	41
562	36	41
563	36	40
564	36	40
565	36	40
566	36	40
567	36	40
568	36	40
569	37	41
570	37	40
571	37	40
572	37	40
573	37	40
574	37	40
575	37	40
576	37	40
577	37	40
578	37	40
579	37	39
580	38	40
	24	25
582	24	25
583	24	25
584	24	25
585	24	25
586	24	25
587	24	25
588	24	25
589	24	25
590	24	25
591	24	25
592	24	25
593	24	25
594	24	25
595	24	25
596	24	25
597	24	25
598	24	25
599	25	25
600	25	25
601	25	24
602	25	24
603	25	24
604	25	24
605	25	24
606	25	24
607	25	24
608	25	24
609	25	24
610	25	24
611	25	24
612	25	24
613	25	24
614	25	24
615	25	24
616	25	24
617	25	24
618	25	24
619	26	24
620	26	24
621	26	24
622	26	24
623	26	24
22	35	32
623	35	32
624	35	32
625	35	32
626	35	32
627	35	32
628	35	32
629	35	32
630	35	32
631	35	32
632	35	31
633	35	31
634	35	31
635	35	31
636	35	31
637	35	31
638	35	31
639	35	31
640	35	31
641	35	31
642	36	31
643	36	31
644	36	31
645	36	31
646	36	31
647	36	31
648	36	31
649	36	31
650	36	31
651	36	31
652	37	31
653	37	31
654	37	30
655	37	30
656	37	30
657	37	30
658	37	30
659	37	30
660	37	30
661	37	30
662	37	30
663	37	30
664	37	30
665	37	30
666	37	29
667	37	29
668	37	29
669	37	29
670	37	29
671	37	29
672	37	29
673	37	29
674	37	29
675	37	29
676	37	29
677	37	28
678	37	28
679	37	28
680	37	28
17
693	24	17
694	24	17
695	24	17
696	24	17
697	24	17
698	24	17
699	24	17
700	24	17
701	24	17
702	24	17
703	24	17
704	24	17
705	24	17
706	24	17
707	24	17
708	24	17
709	24	17
710	24	17
711	24	17
712	24	17
713	24	17
714	25	16
715	25	16
716	25	16
717	25	16
718	25	16
719	25	16
720	25	16
721	25	16
722	25	16
723	25	16
724	25	16
725	25	16
726	25	16
727	25	16
728	25	16
729	25	16
730	25	16
731	25	16
732	25	16
733	25	16
734	25	16
735	25	16
736	25	15
737	25	15
738	25	15
739	25	15
740	25	15
741	26	16
742	29	18
743	29	17
744	29	17
745	29	17
746	29	17
747	29	17
748	29	17
749	29	17
750	29	17
751	29	17
752	29	17
753	29	17
754	29	17
755	29	17
756	29	17
757	29	17
758	29	17
759	29	17
760	29	17
761	29	17
762	29	17
763	29	16
764	29	16
765	29	16
766	29	16
767	29	16
768	29	16
769	29	16
770	29	16
771	29	16
772	29	16
773	29	16
774	29	16
775	30	16
776	30	16
777	30	16
778	30	16
779	30	16
780	30	16
781	30	16
782	30	16
783	30	16
784	30	16
785	30	16
786	30	16
787	30	15
788	30	15
789	30	15
790	30	15
791	30	15
792	30	15
793	31	15
794	31	15
795	31	15
796	31	15
797	31	15
798	31	15
799	31	15
800	31	15
801	31	15
802	31	15
803	31	15
804	31	15
805	31	15
806	31	15
807	31	15
808	31	15
809	31	15
810	31	15
811	31	15
812	31	15
813	31	14
814	31	14
815	31	14
816	31	14
817	31	14
818	31	14
819	31	14
820	31	14
821	31	14
822	31	14
823	31	14
824	31	14
825	31	14
826	31	14
827	31	14
828	31	14
829	31	14
830	31	14
831	31	14
832	31	14
833	31	14
834	31	13
835	32	13
836	32	13
837	32	13
838	32	13
839	32	13
840	32	13
841	32	13
842	32	13
843	32	13
844	32	13
845	32	13
846	32	13
847	32	13
848	32	13
849	32	13
850	32	13
851	32	13
852	32	13
853	32	13
854	32	13
855	33	13
856	33	13
857	33	13
858	33	13
859	33	13
860	33	13
861	33	13
862	33	13
863	33	13
864	33	13
865	34	13
866	34	13
867	34	13
868	34	13
869	34	13
870	34	13
871	34	12
28	10
869	28	10
870	28	10
871	28	10
872	28	10
873	28	10
874	28	10
875	28	10
876	28	10
877	28	10
878	28	10
879	28	10
880	28	10
881	28	10
882	28	10
883	28	10
884	28	10
885	28	10
886	28	10
887	28	10
888	29	10
889	29	10
890	29	10
891	29	10
892	29	9
893	29	9
894	29	9
895	29	9
896	29	9
897	29	9
898	29	9
899	29	9
900	29	9
901	29	9
902	29	9
903	29	9
904	29	9
905	29	9
906	29	9
907	29	9
908	29	9
909	29	9
910	29	9
911	29	9
912	29	9
913	29	9
914	29	9
915	29	9
916	29	9
917	29	9
918	29	9
919	29	9
920	29	8
921	29	8
922	29	8
923	29	8
924	29	8
925	29	8
926	29	8
927	29	8
928	30	8
929	30	8
930	30	8
931	30	8
932	30	8
933	30	8
934	30	8
935	30	8
936	30	8
937	30	8
938	30	8
939	30	8
940	30	8
941	30	8
942	30	8
943	30	8
944	30	8
945	30	8
946	30	8
947	30	8
948	30	8
949	30	8
950	30	8
951	30	7
952	30	7
953	30	7
954	30	7
955	30	7
956	30	7
957	30	7
958	30	7
959	30	7
960	30	7
961	30	7
962	30	7
963	31	7
964	31	7
965	31	7
966	31	7
967	31	7
968	31	7
969	31	7
970	31	7
971	31	7
972	31	7
973	31	7
974	31	7
975	31	7
976	31	7
977	31	7
978	31	7
979	31	7
980	31	7
981	31	7
982	31	6
983	31	6
984	31	6
985	31	6
986	31	6
987	31	6
988	31	6
988	32	6
989	33	7
6	32	6
987	32	6
988	32	6
989	32	6
990	32	6
991	32	6
992	32	6
993	32	6
994	32	6
995	32	6
996	32	6
997	32	6
998	32	6
999	32	6
1000	32	6
1001	32	6
1002	32	6
1003	32	6
1004	32	6
1005	32	6
1006	32	6
1007	32	6
1008	32	6
1009	32	6
1010	33	6
1011	33	6
1012	33	6
1013	33	6
1014	33	6
1015	33	6
1016	33	6
1017	33	5
1018	33	5
1019	33	5
1020	33	5
1021	33	5
1022	33	5
1023	33	5
1024	33	5
1025	33	5
1026	33	5
1027	33	5
1028	34	5
1029	34	5
1030	34	5
1031	34	5
1032	34	5
1033	34	5
1034	34	5
1035	34	5
1036	34	5
1037	34	5
1038	34	5
1039	34	5
1040	34	5
1041	34	5
1042	34	5
1043	34	5
1044	34	5
1045	35	5
1046	35	5
1047	35	5
1048	35	5
1049	36	5
1050	36	5
1051	36	5
1052	36	5
1053	36	5
1054	36	4
1055	36	4
1056	36	4
1057	36	4
1058	36	4
1059	36	4
1060	36	4
1061	36	4
1062	36	4
1063	36	4
1064	36	4
1065	36	4
1066	36	4
1067	36	4
1068	36	4
1069	36	4
1070	36	4
1071	36	4
1072	36	4
1073	36	4
1074	36	4
1075	36	4
1076	36	4
1077	36	4
1078	37	4
1079	37	4
1080	37	4
1081	37	4
1082	37	4
1083	37	3
1084	37	3
1085	37	3
1086	37	3
1087	37	3
1088	37	3
1089	37	3
1090	37	3
1091	37	3
1092	37	3
80	69	1
1081	69	1
1082	69	1
1083	69	1
1084	69	0
1085	69	0
1086	69	0
1087	69	0
1088	69	0
1089	69	0
1090	69	0
1091	69	0
1092	69	0
1093	69	0
1094	70	0
1095	70	0
1096	70	0
1097	70	0
1098	70	0
1099	70	0
